Date,Time,pH,NTU,Temperature(C),
20/04/2025,19:32:08,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:32:10,4.37,80,28.81,Signs of Water Pollution
20/04/2025,19:32:11,4.38,80,28.75,Signs of Water Pollution
20/04/2025,19:32:13,4.37,80,28.81,Signs of Water Pollution
20/04/2025,19:32:14,4.36,80,28.81,Signs of Water Pollution
20/04/2025,19:32:16,4.37,80,28.81,Signs of Water Pollution
20/04/2025,19:32:18,4.36,80,28.81,Signs of Water Pollution
20/04/2025,19:32:19,4.36,80,28.81,Signs of Water Pollution
20/04/2025,19:32:21,4.36,80,28.81,Signs of Water Pollution
20/04/2025,19:32:22,4.35,80,28.81,Signs of Water Pollution
20/04/2025,19:32:24,4.35,80,28.81,Signs of Water Pollution
20/04/2025,19:32:26,4.35,80,28.81,Signs of Water Pollution
20/04/2025,19:32:27,4.35,80,28.81,Signs of Water Pollution
20/04/2025,19:32:29,4.34,80,28.81,Signs of Water Pollution
20/04/2025,19:32:31,4.34,80,28.81,Signs of Water Pollution
20/04/2025,19:32:32,4.34,80,28.81,Signs of Water Pollution
20/04/2025,19:32:34,4.34,80,28.81,Signs of Water Pollution
20/04/2025,19:32:35,4.34,80,28.81,Signs of Water Pollution
20/04/2025,19:32:37,4.33,80,28.81,Signs of Water Pollution
20/04/2025,19:32:39,4.33,80,28.81,Signs of Water Pollution
20/04/2025,19:32:40,4.32,80,28.87,Signs of Water Pollution
20/04/2025,19:32:42,4.32,80,28.81,Signs of Water Pollution
20/04/2025,19:32:43,4.32,80,28.81,Signs of Water Pollution
20/04/2025,19:32:45,4.32,80,28.81,Signs of Water Pollution
20/04/2025,19:32:47,4.31,80,28.81,Signs of Water Pollution
20/04/2025,19:32:48,4.31,80,28.81,Signs of Water Pollution
20/04/2025,19:32:50,4.3,80,28.87,Signs of Water Pollution
20/04/2025,19:32:52,4.3,80,28.81,Signs of Water Pollution
20/04/2025,19:32:53,4.3,80,28.81,Signs of Water Pollution
20/04/2025,19:32:55,4.3,80,28.87,Signs of Water Pollution
20/04/2025,19:32:56,4.29,80,28.87,Signs of Water Pollution
20/04/2025,19:32:58,4.29,80,28.81,Signs of Water Pollution
20/04/2025,19:33:00,4.28,80,28.81,Signs of Water Pollution
20/04/2025,19:33:01,4.28,80,28.87,Signs of Water Pollution
20/04/2025,19:33:03,4.28,80,28.87,Signs of Water Pollution
20/04/2025,19:33:04,4.28,80,28.87,Signs of Water Pollution
20/04/2025,19:33:06,4.27,80,28.81,Signs of Water Pollution
20/04/2025,19:33:08,4.28,80,28.81,Signs of Water Pollution
20/04/2025,19:33:09,4.27,80,28.81,Signs of Water Pollution
20/04/2025,19:33:11,4.27,80,28.87,Signs of Water Pollution
20/04/2025,19:33:12,4.26,80,28.81,Signs of Water Pollution
20/04/2025,19:33:14,4.26,80,28.87,Signs of Water Pollution
20/04/2025,19:33:16,4.27,80,28.81,Signs of Water Pollution
20/04/2025,19:33:17,4.26,80,28.87,Signs of Water Pollution
20/04/2025,19:33:19,4.26,80,28.87,Signs of Water Pollution
20/04/2025,19:33:21,4.26,80,28.87,Signs of Water Pollution
20/04/2025,19:33:22,4.26,80,28.87,Signs of Water Pollution
20/04/2025,19:33:24,4.26,80,28.87,Signs of Water Pollution
20/04/2025,19:33:25,4.25,80,28.87,Signs of Water Pollution
20/04/2025,19:33:27,4.26,80,28.87,Signs of Water Pollution
20/04/2025,19:33:29,4.26,80,28.87,Signs of Water Pollution
20/04/2025,19:33:30,4.25,80,28.87,Signs of Water Pollution
20/04/2025,19:33:32,4.26,80,28.87,Signs of Water Pollution
20/04/2025,19:33:33,4.25,80,28.87,Signs of Water Pollution
20/04/2025,19:33:35,4.25,80,28.87,Signs of Water Pollution
20/04/2025,19:33:37,4.26,80,28.87,Signs of Water Pollution
20/04/2025,19:33:38,4.25,80,28.87,Signs of Water Pollution
20/04/2025,19:33:40,4.26,80,28.87,Signs of Water Pollution
20/04/2025,19:33:41,4.25,80,28.87,Signs of Water Pollution
20/04/2025,19:33:43,4.25,80,28.87,Signs of Water Pollution
20/04/2025,19:33:45,4.25,80,28.87,Signs of Water Pollution
20/04/2025,19:33:46,4.26,80,28.87,Signs of Water Pollution
20/04/2025,19:33:48,4.25,80,28.87,Signs of Water Pollution
20/04/2025,19:33:50,4.25,80,28.87,Signs of Water Pollution
20/04/2025,19:33:51,4.26,80,28.87,Signs of Water Pollution
20/04/2025,19:33:53,4.25,80,28.87,Signs of Water Pollution
20/04/2025,19:33:54,4.26,80,28.94,Signs of Water Pollution
20/04/2025,19:33:56,4.26,80,28.94,Signs of Water Pollution
20/04/2025,19:33:58,4.25,80,28.87,Signs of Water Pollution
20/04/2025,19:33:59,4.26,80,28.87,Signs of Water Pollution
20/04/2025,19:34:01,4.26,80,28.94,Signs of Water Pollution
20/04/2025,19:34:02,4.26,80,28.87,Signs of Water Pollution
20/04/2025,19:34:04,4.27,80,28.87,Signs of Water Pollution
20/04/2025,19:34:06,4.26,80,28.87,Signs of Water Pollution
20/04/2025,19:34:07,4.27,80,28.94,Signs of Water Pollution
20/04/2025,19:34:09,4.26,80,28.94,Signs of Water Pollution
20/04/2025,19:34:10,4.26,80,28.87,Signs of Water Pollution
20/04/2025,19:34:12,4.27,80,28.94,Signs of Water Pollution
20/04/2025,19:34:14,4.26,80,28.94,Signs of Water Pollution
20/04/2025,19:34:15,4.26,80,28.94,Signs of Water Pollution
20/04/2025,19:34:17,4.27,80,28.94,Signs of Water Pollution
20/04/2025,19:34:19,4.27,80,28.87,Signs of Water Pollution
20/04/2025,19:34:20,4.27,80,28.94,Signs of Water Pollution
20/04/2025,19:34:22,4.27,80,28.94,Signs of Water Pollution
20/04/2025,19:34:23,4.27,80,28.94,Signs of Water Pollution
20/04/2025,19:34:25,4.28,80,28.94,Signs of Water Pollution
20/04/2025,19:34:27,4.27,80,28.94,Signs of Water Pollution
20/04/2025,19:34:28,4.27,80,28.94,Signs of Water Pollution
20/04/2025,19:34:30,4.27,80,28.94,Signs of Water Pollution
20/04/2025,19:34:31,4.27,80,28.94,Signs of Water Pollution
20/04/2025,19:34:33,4.28,80,28.94,Signs of Water Pollution
20/04/2025,19:34:35,4.28,80,28.94,Signs of Water Pollution
20/04/2025,19:34:36,4.28,80,28.94,Signs of Water Pollution
20/04/2025,19:34:38,4.28,80,28.94,Signs of Water Pollution
20/04/2025,19:34:39,4.28,80,28.94,Signs of Water Pollution
20/04/2025,19:34:41,4.27,80,28.94,Signs of Water Pollution
20/04/2025,19:34:43,4.28,80,28.94,Signs of Water Pollution
20/04/2025,19:34:44,4.28,80,28.94,Signs of Water Pollution
20/04/2025,19:34:46,4.28,80,28.94,Signs of Water Pollution
20/04/2025,19:34:48,4.28,80,28.94,Signs of Water Pollution
20/04/2025,19:34:49,4.28,80,29,Signs of Water Pollution
20/04/2025,19:34:51,4.28,80,28.94,Signs of Water Pollution
20/04/2025,19:34:52,4.28,80,28.94,Signs of Water Pollution
20/04/2025,19:34:54,4.29,80,28.94,Signs of Water Pollution
20/04/2025,19:34:56,4.29,80,28.94,Signs of Water Pollution
20/04/2025,19:34:57,4.29,80,28.94,Signs of Water Pollution
